Subject Number,Trial Number,Trial Type,Elevation,Corner(Bottom Left) Position X,Corner(Bottom Left) Positio Y,Corner(Bottom Left) Position Z,Corner(Bottom Right) Position X,Corner(Bottom Right) Positio Y,Corner(Bottom Right) Position Z,Corner(Top Right) Position X,Corner(Top Right) Positio Y,Corner(Top Right) Position Z,Corner(Top Left) Position X,Corner(Top Left) Positio Y,Corner(Top Left) Position Z,Gap Size,My thoughts are,My body feels,I am feeling,Mental effort
PDT07,2,ST,High,-2.694,0.101,0.086,-2.732,0.103,-0.345,2.484,0.065,-0.796,2.512,0.060,-0.357,0,2,2,1,10
Elapsed Time,Elevator Height,HeadSet Position X,HeadSet Position Y,HeadSet Position Z,HeadSet Rotation X,HeadSet Rotation Y,HeadSet Rotation Z,LeftHand Position X,LeftHand Position Y,LeftHand Position Z,LeftHand Rotation X,LeftHand Rotation Y,LeftHand Rotation Z,RightHand Position X,RightHand Position Y,RightHand Position Z,RightHand Rotation X,RightHand Rotation Y,RightHand Rotation Z,rightFoot Position X,rightFoot Position Y,rightFoot Position Z,rightFoot Rotation X,rightFoot Rotation Y,rightFoot Rotation Z,leftFoot Position X,leftFoot Position Y,leftFoot Position Z,leftFoot Rotation X,leftFoot Rotation Y,leftFoot Rotation Z,FrontLumbar Position X,FrontLumbar Position Y,FrontLumbar Position Z,FrontLumbar Rotation X,FrontLumbar Rotation Y,FrontLumbar Rotation Z,BackLumbar Position X,BackLumbar Position Y,BackLumbar Position Z,BackLumbar Rotation X,BackLumbar Rotation Y,BackLumbar Rotation Z,Eye_Left Position X,Eye_Left Position Y,Eye_Left Position Z,Eye_Left Rotation X,Eye_Left Rotation Y,Eye_Left Rotation Z,Eye_Right Position X,Eye_Right Position Y,Eye_Right Position Z,Eye_Right Rotation X,Eye_Right Rotation Y,Eye_Right Rotation Z,Eye_Left Target Name,Eye_Left Distance,Eye_Left Point X,Eye_Left Point Y,Eye_Left Point Z,Eye_Right Target Name,Eye_Right Distance,Eye_Right Point X,Eye_Right Point Y,Eye_Right Point Z,Gap Size
0.033,15.000,-1.698,16.565,-0.205,351.833,81.848,0.408,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.861,15.258,-0.364,2.090,189.602,172.656,-1.807,15.258,-0.035,4.465,9.931,174.469,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.626,16.584,-0.160,354.403,105.482,359.823,-1.617,16.584,-0.228,354.403,105.482,359.823,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.034,15.000,-1.698,16.565,-0.205,351.833,81.848,0.408,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.813,15.269,-0.355,2.067,189.549,172.590,-1.774,15.252,-0.044,4.495,9.896,174.530,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.626,16.584,-0.160,354.403,105.482,359.823,-1.617,16.584,-0.228,354.403,105.482,359.823,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.034,15.000,-1.698,16.565,-0.205,351.833,81.848,0.408,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.766,15.280,-0.346,2.043,189.496,172.524,-1.740,15.247,-0.053,4.524,9.861,174.591,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.626,16.584,-0.160,354.403,105.482,359.823,-1.617,16.584,-0.228,354.403,105.482,359.823,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.067,15.000,-1.698,16.564,-0.207,352.236,83.242,0.156,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.862,15.258,-0.364,2.058,189.735,172.440,-1.806,15.258,-0.035,4.483,10.087,174.340,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.626,16.583,-0.164,355.428,108.608,359.947,-1.618,16.583,-0.232,355.428,108.608,359.947,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.067,15.000,-1.698,16.564,-0.207,352.236,83.242,0.156,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.814,15.269,-0.355,2.034,189.682,172.374,-1.773,15.252,-0.044,4.512,10.053,174.401,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.626,16.583,-0.164,355.428,108.608,359.947,-1.618,16.583,-0.232,355.428,108.608,359.947,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.067,15.000,-1.698,16.564,-0.207,352.236,83.242,0.156,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.766,15.280,-0.346,2.011,189.630,172.308,-1.740,15.246,-0.053,4.541,10.018,174.462,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.626,16.583,-0.164,355.428,108.608,359.947,-1.618,16.583,-0.232,355.428,108.608,359.947,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.099,15.000,-1.699,16.563,-0.209,352.635,84.462,359.884,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.862,15.258,-0.364,2.046,189.919,172.234,-1.806,15.258,-0.035,4.475,10.252,174.207,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.625,16.582,-0.167,354.854,110.063,359.929,-1.618,16.582,-0.236,354.854,110.063,359.929,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.100,15.000,-1.699,16.563,-0.209,352.635,84.462,359.884,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.815,15.269,-0.355,2.023,189.866,172.168,-1.773,15.252,-0.044,4.504,10.217,174.268,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.625,16.582,-0.167,354.854,110.063,359.929,-1.618,16.582,-0.236,354.854,110.063,359.929,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.100,15.000,-1.699,16.563,-0.209,352.635,84.462,359.884,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.767,15.280,-0.346,2.000,189.814,172.102,-1.740,15.246,-0.053,4.533,10.182,174.330,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.625,16.582,-0.167,354.854,110.063,359.929,-1.618,16.582,-0.236,354.854,110.063,359.929,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
0.133,15.000,-1.699,16.563,-0.211,352.933,85.787,359.738,-0.642,15.107,1.215,346.703,98.495,0.268,1.609,16.072,-0.144,334.756,127.990,16.055,-1.863,15.258,-0.364,2.031,189.996,172.086,-1.806,15.258,-0.035,4.456,10.403,174.032,0.000,15.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,-1.624,16.581,-0.171,354.962,108.681,359.983,-1.619,16.580,-0.240,354.962,108.681,359.983,NOTHING,0,0.000,0.000,0.000,NOTHING,0,0.000,0.000,0.000,0.00
