Subject Number,Trial Number,Trial Type,Elevation,Corner(Bottom Left) Position X,Corner(Bottom Left) Positio Y,Corner(Bottom Left) Position Z,Corner(Bottom Right) Position X,Corner(Bottom Right) Positio Y,Corner(Bottom Right) Position Z,Corner(Top Right) Position X,Corner(Top Right) Positio Y,Corner(Top Right) Position Z,Corner(Top Left) Position X,Corner(Top Left) Positio Y,Corner(Top Left) Position Z,Gap Size,My thoughts are,My body feels,I am feeling,Mental effort
PDT008,1,ST,Low,-2.925,0.033,-0.132,-2.939,0.041,-0.575,2.281,0.052,-0.784,2.283,0.053,-0.350,0,0,0,0,0
Elapsed Time,Elevator Height,HeadSet Position X,HeadSet Position Y,HeadSet Position Z,HeadSet Rotation X,HeadSet Rotation Y,HeadSet Rotation Z,LeftHand Position X,LeftHand Position Y,LeftHand Position Z,LeftHand Rotation X,LeftHand Rotation Y,LeftHand Rotation Z,RightHand Position X,RightHand Position Y,RightHand Position Z,RightHand Rotation X,RightHand Rotation Y,RightHand Rotation Z,rightFoot Position X,rightFoot Position Y,rightFoot Position Z,rightFoot Rotation X,rightFoot Rotation Y,rightFoot Rotation Z,leftFoot Position X,leftFoot Position Y,leftFoot Position Z,leftFoot Rotation X,leftFoot Rotation Y,leftFoot Rotation Z,FrontLumbar Position X,FrontLumbar Position Y,FrontLumbar Position Z,FrontLumbar Rotation X,FrontLumbar Rotation Y,FrontLumbar Rotation Z,BackLumbar Position X,BackLumbar Position Y,BackLumbar Position Z,BackLumbar Rotation X,BackLumbar Rotation Y,BackLumbar Rotation Z,Eye_Left Position X,Eye_Left Position Y,Eye_Left Position Z,Eye_Left Rotation X,Eye_Left Rotation Y,Eye_Left Rotation Z,Eye_Right Position X,Eye_Right Position Y,Eye_Right Position Z,Eye_Right Rotation X,Eye_Right Rotation Y,Eye_Right Rotation Z,Eye_Left Target Name,Eye_Left Distance,Eye_Left Point X,Eye_Left Point Y,Eye_Left Point Z,Eye_Right Target Name,Eye_Right Distance,Eye_Right Point X,Eye_Right Point Y,Eye_Right Point Z,Gap Size
0.033,0.000,-2.544,1.622,-0.377,12.677,95.578,355.715,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.740,0.157,-0.503,13.932,181.053,172.725,-2.724,0.161,-0.252,13.517,17.189,180.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.462,1.616,-0.351,16.809,114.790,359.844,-2.470,1.611,-0.420,16.809,114.790,359.844,Terrain Modified,5.574536,2.385,0.001,-2.583,Terrain Modified,5.54959,2.356,0.001,-2.639,0.00
0.033,0.000,-2.544,1.622,-0.377,12.677,95.578,355.715,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.745,0.157,-0.505,13.933,181.053,172.725,-2.726,0.161,-0.252,13.516,17.189,180.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.462,1.616,-0.351,16.809,114.790,359.844,-2.470,1.611,-0.420,16.809,114.790,359.844,Terrain Modified,5.574536,2.385,0.001,-2.583,Terrain Modified,5.54959,2.356,0.001,-2.639,0.00
0.033,0.000,-2.544,1.622,-0.377,12.677,95.578,355.715,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.750,0.157,-0.507,13.933,181.052,172.725,-2.729,0.160,-0.251,13.516,17.188,180.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.462,1.616,-0.351,16.809,114.790,359.844,-2.470,1.611,-0.420,16.809,114.790,359.844,Terrain Modified,5.574536,2.385,0.001,-2.583,Terrain Modified,5.54959,2.356,0.001,-2.639,0.00
0.065,0.000,-2.544,1.622,-0.377,12.584,95.659,355.603,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.741,0.158,-0.502,13.969,181.060,172.520,-2.724,0.161,-0.252,13.506,17.140,180.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.461,1.616,-0.351,16.771,114.843,359.860,-2.469,1.610,-0.419,16.771,114.843,359.860,Terrain Modified,5.578202,2.386,0.001,-2.589,Terrain Modified,5.565343,2.367,0.001,-2.653,0.00
0.065,0.000,-2.544,1.622,-0.377,12.584,95.659,355.603,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.745,0.158,-0.505,13.969,181.060,172.520,-2.727,0.161,-0.252,13.506,17.139,180.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.461,1.616,-0.351,16.771,114.843,359.860,-2.469,1.610,-0.419,16.771,114.843,359.860,Terrain Modified,5.578202,2.386,0.001,-2.589,Terrain Modified,5.565343,2.367,0.001,-2.653,0.00
0.065,0.000,-2.544,1.622,-0.377,12.584,95.659,355.603,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.750,0.158,-0.507,13.969,181.059,172.520,-2.729,0.160,-0.251,13.506,17.139,180.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.461,1.616,-0.351,16.771,114.843,359.860,-2.469,1.610,-0.419,16.771,114.843,359.860,Terrain Modified,5.578202,2.386,0.001,-2.589,Terrain Modified,5.565343,2.367,0.001,-2.653,0.00
0.098,0.000,-2.543,1.622,-0.377,12.639,95.607,355.681,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.741,0.158,-0.502,13.861,181.387,172.576,-2.725,0.161,-0.252,13.450,17.116,180.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.461,1.615,-0.351,19.891,110.935,0.094,-2.469,1.610,-0.419,19.891,110.935,0.094,Terrain Modified,4.752918,1.713,0.001,-1.951,Terrain Modified,5.577514,2.377,0.001,-2.663,0.00
0.098,0.000,-2.543,1.622,-0.377,12.639,95.607,355.681,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.745,0.158,-0.504,13.861,181.387,172.576,-2.727,0.161,-0.252,13.450,17.115,180.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.461,1.615,-0.351,19.891,110.935,0.094,-2.469,1.610,-0.419,19.891,110.935,0.094,Terrain Modified,4.752918,1.713,0.001,-1.951,Terrain Modified,5.577514,2.377,0.001,-2.663,0.00
0.099,0.000,-2.543,1.622,-0.377,12.639,95.607,355.681,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.750,0.158,-0.506,13.861,181.386,172.576,-2.730,0.160,-0.251,13.450,17.115,180.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.461,1.615,-0.351,19.891,110.935,0.094,-2.469,1.610,-0.419,19.891,110.935,0.094,Terrain Modified,4.752918,1.713,0.001,-1.951,Terrain Modified,5.577514,2.377,0.001,-2.663,0.00
0.131,0.000,-2.542,1.622,-0.376,12.816,95.503,355.758,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.740,0.158,-0.501,13.801,181.751,172.743,-2.725,0.161,-0.252,13.534,17.296,180.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.460,1.615,-0.350,27.265,92.089,0.072,-2.468,1.610,-0.418,27.265,92.089,0.072,PlankPlatform (1),3.514938,0.666,0.015,-0.470,Terrain Modified,4.729577,1.685,0.001,-2.008,0.00
0.132,0.000,-2.542,1.622,-0.376,12.816,95.503,355.758,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.745,0.158,-0.504,13.801,181.751,172.743,-2.727,0.161,-0.252,13.533,17.295,180.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.460,1.615,-0.350,27.265,92.089,0.072,-2.468,1.610,-0.418,27.265,92.089,0.072,PlankPlatform (1),3.514938,0.666,0.015,-0.470,Terrain Modified,4.729577,1.685,0.001,-2.008,0.00
0.132,0.000,-2.542,1.622,-0.376,12.816,95.503,355.758,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.750,0.158,-0.506,13.801,181.750,172.743,-2.730,0.160,-0.251,13.533,17.295,180.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.460,1.615,-0.350,27.265,92.089,0.072,-2.468,1.610,-0.418,27.265,92.089,0.072,PlankPlatform (1),3.514938,0.666,0.015,-0.470,Terrain Modified,4.729577,1.685,0.001,-2.008,0.00
0.164,0.000,-2.541,1.622,-0.375,13.177,95.278,355.694,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.740,0.158,-0.501,13.769,181.990,172.993,-2.724,0.161,-0.252,13.543,17.324,180.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.459,1.614,-0.348,27.822,92.769,359.912,-2.466,1.609,-0.417,27.822,92.769,359.912,PlankPlatform (1),3.469557,0.614,0.015,-0.512,PlankPlatform (1),3.481918,0.625,0.015,-0.531,0.00
0.165,0.000,-2.541,1.622,-0.375,13.177,95.278,355.694,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.745,0.158,-0.504,13.769,181.990,172.993,-2.727,0.161,-0.252,13.542,17.323,180.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.459,1.614,-0.348,27.822,92.769,359.912,-2.466,1.609,-0.417,27.822,92.769,359.912,PlankPlatform (1),3.469557,0.614,0.015,-0.512,PlankPlatform (1),3.481918,0.625,0.015,-0.531,0.00
0.165,0.000,-2.541,1.622,-0.375,13.177,95.278,355.694,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.750,0.158,-0.506,13.769,181.989,172.993,-2.729,0.160,-0.251,13.542,17.323,180.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.459,1.614,-0.348,27.822,92.769,359.912,-2.466,1.609,-0.417,27.822,92.769,359.912,PlankPlatform (1),3.469557,0.614,0.015,-0.512,PlankPlatform (1),3.481918,0.625,0.015,-0.531,0.00
0.198,0.000,-2.539,1.620,-0.373,13.954,94.933,355.837,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.740,0.158,-0.501,13.856,181.876,173.059,-2.724,0.161,-0.251,13.567,17.167,180.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.458,1.612,-0.346,28.854,92.579,0.121,-2.465,1.607,-0.415,28.854,92.579,0.121,PlankPlatform (1),3.398002,0.536,0.015,-0.500,PlankPlatform (1),3.415342,0.551,0.015,-0.563,0.00
0.198,0.000,-2.539,1.620,-0.373,13.954,94.933,355.837,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.745,0.158,-0.504,13.856,181.875,173.059,-2.727,0.160,-0.251,13.567,17.167,180.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.458,1.612,-0.346,28.854,92.579,0.121,-2.465,1.607,-0.415,28.854,92.579,0.121,PlankPlatform (1),3.398002,0.536,0.015,-0.500,PlankPlatform (1),3.415342,0.551,0.015,-0.563,0.00
0.198,0.000,-2.539,1.620,-0.373,13.954,94.933,355.837,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.750,0.158,-0.506,13.857,181.875,173.059,-2.729,0.160,-0.251,13.566,17.166,180.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.458,1.612,-0.346,28.854,92.579,0.121,-2.465,1.607,-0.415,28.854,92.579,0.121,PlankPlatform (1),3.398002,0.536,0.015,-0.500,PlankPlatform (1),3.415342,0.551,0.015,-0.563,0.00
0.235,0.000,-2.538,1.618,-0.372,15.218,94.576,356.118,-0.012,0.039,0.635,346.658,95.137,356.811,0.005,0.052,0.513,346.701,90.662,6.008,-2.741,0.158,-0.502,13.883,181.898,172.972,-2.724,0.161,-0.252,13.661,17.154,180.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.456,1.607,-0.345,30.091,92.104,0.249,-2.463,1.603,-0.413,30.091,92.104,0.249,PlankPlatform (1),3.312295,0.442,0.015,-0.468,PlankPlatform (1),3.298224,0.421,0.015,-0.545,0.00
